Crop,Region,Soil_Type,Soil_pH,Rainfall_mm,Temperature_C,Humidity_pct,Fertilizer_Used_kg,Irrigation,Pesticides_Used_kg,Planting_Density,Previous_Crop,Yield_ton_per_ha
Maize,Region_D,Sandy,6.97,1255.1,20.3,75.5,116.5,None,14.7,20.7,Barley,108.05
Wheat,Region_C,Sandy,7.13,873.8,16.5,70.4,79.6,None,39.4,15.1,None,65.32
Barley,Region_D,Sandy,5.56,788.9,23.4,61.7,183.6,Sprinkler,5.3,9.6,Wheat,111.8
Rice,Region_B,Loam,5.6,1123.8,27.4,77.5,61.1,None,49.3,22.1,Maize,71.0
Barley,Region_A,Clay,7.08,982.5,30.8,88.2,218.6,None,16.9,10.4,None,149.2
Wheat,Region_B,Sandy,6.57,1461.9,31.2,88.0,110.0,None,11.2,11.4,Maize,92.66
Wheat,Region_B,Sandy,6.66,959.2,34.8,77.4,163.6,None,6.9,6.3,Wheat,119.53
Wheat,Region_A,Sandy,5.61,805.8,16.8,59.2,213.9,Drip,40.6,24.6,Rice,128.84
Rice,Region_B,Clay,6.01,905.7,24.9,39.8,170.8,None,29.3,20.9,None,110.46
Wheat,Region_A,Clay,6.78,1251.1,25.4,32.7,109.0,Sprinkler,47.6,8.0,Barley,95.67
Rice,Region_D,Sandy,7.22,996.5,31.1,43.9,270.1,None,32.4,14.8,Maize,165.39
Wheat,Region_B,Clay,7.33,1041.2,20.3,50.4,241.1,Sprinkler,17.0,11.7,Rice,147.0
Barley,Region_A,Sandy,6.5,1462.9,16.4,37.8,200.3,Sprinkler,41.8,5.6,Wheat,147.86
Barley,Region_C,Clay,6.59,1003.9,21.3,43.5,224.6,Drip,14.1,23.5,Barley,146.46
Maize,Region_B,Loam,7.17,694.4,34.7,35.0,153.8,Drip,14.5,21.8,Maize,96.08
Barley,Region_D,Loam,6.58,1098.7,33.0,61.4,144.0,None,1.4,24.7,Rice,104.53
Maize,Region_A,Clay,6.53,1057.3,22.9,37.6,90.0,None,12.6,9.9,Wheat,83.62
Barley,Region_B,Loam,7.31,218.0,32.5,74.6,250.9,Flood,13.1,19.0,Rice,141.13
Rice,Region_B,Loam,7.08,807.5,15.7,50.0,145.3,None,14.9,7.4,Wheat,86.78
Barley,Region_B,Loam,7.32,1165.8,21.3,70.3,223.1,Flood,18.4,13.6,Barley,144.47
Maize,Region_D,Sandy,5.94,848.8,29.5,83.0,125.0,Flood,28.8,21.9,None,93.45
Maize,Region_A,Clay,6.55,1213.5,19.4,35.2,249.0,Drip,10.8,5.2,Maize,166.9
Wheat,Region_C,Clay,7.18,786.1,19.0,89.3,76.3,Sprinkler,31.8,14.6,None,67.59
Rice,Region_C,Clay,5.72,1478.3,32.2,68.7,206.3,Flood,6.7,13.7,Barley,156.95
Barley,Region_C,Loam,7.09,580.8,27.3,33.2,251.9,None,46.5,18.8,None,145.23
Wheat,Region_A,Sandy,5.87,319.8,34.8,48.8,215.1,Flood,1.3,9.8,Maize,124.99
Barley,Region_C,Clay,7.12,759.0,17.7,83.2,224.0,Drip,45.4,8.5,Barley,136.34
Barley,Region_D,Loam,6.72,904.2,22.1,65.8,181.5,Flood,27.4,18.0,Maize,119.49
Wheat,Region_A,Sandy,5.89,653.8,21.2,47.2,189.8,Flood,35.5,17.8,None,111.2
Wheat,Region_B,Sandy,6.45,515.0,32.6,86.4,66.5,Flood,14.9,20.0,Rice,56.71
Wheat,Region_D,Clay,6.86,1073.7,20.1,77.2,112.7,Flood,8.7,9.9,Rice,84.33
Wheat,Region_B,Clay,6.77,690.3,22.1,74.1,230.5,Flood,47.4,5.3,Maize,134.53
Wheat,Region_C,Loam,6.35,1020.8,17.9,83.3,286.4,Flood,22.1,22.6,Rice,180.84
Barley,Region_D,Clay,7.3,1212.8,30.5,76.2,185.4,Flood,24.0,9.1,Maize,134.35
Wheat,Region_A,Loam,6.54,1189.3,19.8,47.2,231.4,Drip,49.3,13.4,None,160.6
Rice,Region_D,Sandy,6.51,687.9,16.4,65.0,220.9,None,16.8,14.4,Wheat,132.68
Maize,Region_B,Sandy,5.62,938.3,23.7,80.5,299.8,Drip,5.0,8.7,Barley,180.01
Wheat,Region_A,Sandy,7.34,784.6,22.8,40.9,248.8,Flood,29.3,15.4,None,158.23
Wheat,Region_D,Sandy,5.85,1332.0,18.6,39.8,206.9,Flood,27.7,23.3,Wheat,145.13
Barley,Region_D,Clay,6.56,1342.4,17.7,39.5,78.8,Sprinkler,38.7,10.4,None,84.62
Wheat,Region_D,Clay,7.11,646.9,32.9,41.7,140.7,Drip,47.8,15.4,Wheat,95.53
Wheat,Region_D,Loam,5.93,319.3,16.4,36.2,112.7,Flood,15.4,11.2,Maize,69.81
Wheat,Region_A,Loam,6.55,417.9,17.0,80.3,263.4,Sprinkler,36.1,24.6,Barley,146.53
Barley,Region_B,Loam,5.98,677.1,19.9,79.1,161.5,Drip,21.7,9.4,Maize,109.43
Wheat,Region_D,Loam,7.02,933.5,34.1,39.1,183.8,Flood,39.2,7.2,Barley,127.07
Maize,Region_A,Loam,6.63,1053.8,16.7,72.3,291.2,Sprinkler,8.2,7.9,Wheat,178.89
Barley,Region_B,Sandy,7.21,630.8,31.3,67.6,259.2,Sprinkler,25.0,12.3,Rice,156.05
Maize,Region_D,Sandy,7.29,1067.7,32.8,46.6,247.5,Flood,3.9,16.1,Rice,154.6
Barley,Region_B,Sandy,6.8,1419.1,22.6,43.6,85.6,None,28.1,18.4,Rice,94.96
Wheat,Region_B,Loam,6.95,1047.6,20.9,45.0,55.7,Flood,8.4,16.2,Rice,55.93
Maize,Region_A,Sandy,6.6,406.1,28.5,73.8,81.4,Sprinkler,48.0,23.1,None,55.26
Barley,Region_B,Sandy,6.27,953.6,29.1,49.2,235.1,None,27.7,12.2,None,149.72
Rice,Region_A,Sandy,6.8,904.5,30.6,46.7,152.7,None,26.5,19.2,Rice,110.85
Wheat,Region_D,Sandy,7.32,1331.9,31.6,31.3,79.4,Drip,48.6,10.4,Maize,94.08
Barley,Region_B,Clay,6.33,655.4,20.4,84.5,234.8,None,24.9,18.6,Wheat,146.3
Rice,Region_B,Loam,6.13,749.8,28.7,75.2,98.6,Sprinkler,33.8,23.5,Rice,70.17
Barley,Region_C,Loam,6.28,978.3,17.7,58.4,197.3,Sprinkler,2.3,24.6,Maize,127.11
Rice,Region_D,Clay,6.37,881.8,25.2,86.6,235.4,Drip,35.4,19.6,Maize,142.2
Wheat,Region_D,Sandy,5.65,1134.7,27.3,47.6,202.0,Sprinkler,5.2,23.8,Maize,134.0
Maize,Region_C,Sandy,6.5,252.5,18.2,70.5,298.4,Sprinkler,39.0,18.6,None,157.46
Rice,Region_C,Sandy,6.49,932.6,16.5,48.3,158.5,Sprinkler,43.8,24.3,Barley,117.08
Barley,Region_A,Loam,6.68,358.2,18.9,48.9,128.0,Drip,15.8,23.0,None,77.3
Wheat,Region_A,Loam,6.23,609.8,23.4,80.7,100.3,None,43.9,7.1,Rice,72.54
Rice,Region_B,Loam,6.73,1060.1,32.8,77.2,175.9,Drip,24.1,14.5,Rice,127.46
Barley,Region_B,Loam,7.26,404.6,25.6,47.6,263.1,None,28.6,11.9,Rice,144.11
Barley,Region_B,Loam,7.41,601.5,30.0,34.9,286.7,Sprinkler,20.5,5.5,Wheat,167.04
Barley,Region_B,Clay,6.67,1113.9,18.5,51.5,293.0,Flood,23.8,14.3,Wheat,184.85
Rice,Region_A,Loam,5.59,1046.0,17.1,75.6,182.8,Drip,45.4,8.0,Barley,138.5
Rice,Region_D,Sandy,7.44,318.4,19.8,36.0,201.3,None,47.4,5.7,None,118.78
Rice,Region_B,Loam,6.91,950.4,21.3,70.3,195.4,None,22.3,13.9,Maize,138.7
Maize,Region_D,Clay,6.17,391.4,26.0,83.4,166.5,Sprinkler,25.7,9.6,None,100.34
Rice,Region_B,Sandy,5.79,528.0,32.6,40.8,88.1,None,5.8,23.7,Rice,69.05
Rice,Region_C,Clay,5.79,797.0,23.5,81.7,66.4,Sprinkler,16.3,21.3,Barley,63.12
Rice,Region_B,Sandy,5.84,342.2,25.4,33.1,159.2,Sprinkler,25.7,24.1,Wheat,86.0
Maize,Region_B,Loam,5.59,1491.7,15.1,70.0,96.5,Sprinkler,10.1,22.6,Barley,83.71
Rice,Region_B,Clay,7.3,415.0,15.7,77.5,271.7,None,28.8,19.6,Maize,145.82
Barley,Region_A,Sandy,6.58,1215.7,16.7,56.7,240.4,Flood,34.3,17.0,Barley,166.23
Rice,Region_C,Loam,6.9,1278.8,29.0,42.2,204.6,Drip,32.5,6.3,Barley,144.49
Barley,Region_B,Sandy,7.16,1492.8,24.7,85.5,61.9,None,22.1,10.3,Barley,84.57
Barley,Region_B,Clay,7.08,757.2,18.9,31.2,205.6,Drip,38.5,19.2,Rice,135.82
Barley,Region_D,Clay,7.27,1336.3,26.9,63.3,205.3,None,16.0,13.0,Maize,141.7
Maize,Region_C,Clay,7.43,1444.8,25.9,52.4,159.8,Sprinkler,23.5,11.5,Wheat,135.8
Maize,Region_B,Clay,6.38,424.8,16.8,57.7,214.4,Drip,13.5,7.1,None,117.49
Maize,Region_D,Loam,7.4,823.3,27.8,62.2,264.5,Sprinkler,30.2,6.4,Wheat,161.48
Rice,Region_D,Sandy,6.95,278.0,30.3,62.1,239.5,None,22.0,9.2,Barley,128.75
Barley,Region_A,Loam,5.64,1006.9,20.7,42.2,168.4,None,10.9,21.7,Barley,119.73
Maize,Region_D,Clay,6.86,955.8,28.7,70.8,115.6,Flood,15.4,18.3,None,91.4
Maize,Region_B,Sandy,6.87,465.4,19.0,31.1,169.5,Drip,14.0,11.8,Maize,106.5
Rice,Region_A,Clay,7.31,1237.3,30.1,31.3,286.5,None,45.5,6.2,Barley,191.39
Maize,Region_A,Loam,6.25,248.4,33.2,58.7,255.0,None,26.1,8.8,Rice,149.49
Rice,Region_B,Loam,6.67,1248.1,23.8,62.5,56.8,Flood,32.6,14.0,Rice,74.36
Wheat,Region_C,Loam,5.52,234.6,19.9,46.5,245.7,Flood,46.7,8.1,Wheat,137.94
Maize,Region_D,Sandy,6.16,1053.9,23.0,63.1,92.6,Flood,9.1,20.3,Rice,80.28
Wheat,Region_A,Sandy,5.62,302.4,20.0,61.0,192.8,Sprinkler,46.8,20.8,Wheat,108.58
Rice,Region_C,Clay,6.54,526.6,15.0,51.0,251.6,Flood,27.0,7.7,Barley,146.17
Barley,Region_B,Sandy,7.13,1138.5,28.0,69.1,190.3,Flood,42.8,19.5,Rice,128.7
Maize,Region_D,Sandy,5.91,564.5,15.9,87.5,151.0,Drip,8.4,15.2,Rice,101.23
Rice,Region_D,Loam,6.55,864.5,19.2,59.4,130.3,Sprinkler,13.6,24.2,None,94.26
Barley,Region_A,Clay,5.91,1389.8,29.4,77.2,126.3,Sprinkler,9.7,20.8,Wheat,111.7
Barley,Region_D,Loam,5.74,264.5,28.3,44.9,259.4,None,32.7,16.7,None,135.7
Wheat,Region_D,Clay,6.52,1254.4,16.5,75.7,256.3,Drip,7.0,17.1,Maize,167.26
Rice,Region_D,Clay,5.66,284.9,28.2,68.9,255.8,Flood,39.6,8.6,None,146.4
Barley,Region_D,Sandy,6.67,364.8,33.6,68.4,120.7,Sprinkler,12.5,22.9,Rice,80.11
Maize,Region_B,Loam,5.56,355.1,16.5,83.6,249.7,None,12.8,16.2,Rice,142.95
Maize,Region_C,Sandy,5.71,1492.3,23.3,44.0,59.2,Drip,14.1,16.5,Maize,77.34
Wheat,Region_B,Sandy,6.6,434.2,29.6,52.1,101.6,Flood,37.3,16.5,Wheat,70.39
Barley,Region_B,Sandy,6.68,1365.8,28.4,35.0,178.6,Drip,46.2,10.5,Wheat,135.44
Rice,Region_A,Clay,5.56,1488.2,19.5,73.6,151.7,Drip,45.4,21.2,Wheat,127.72
Maize,Region_D,Loam,6.65,698.9,18.3,80.6,78.0,Flood,5.1,22.2,Maize,64.93
Barley,Region_B,Loam,7.18,1020.4,30.7,54.4,60.4,None,13.1,10.8,Barley,65.04
Barley,Region_D,Sandy,6.94,1212.8,34.1,51.4,202.8,Flood,33.6,13.8,Barley,131.8
Wheat,Region_B,Clay,5.76,710.4,30.4,69.5,128.4,Sprinkler,30.9,8.6,Maize,92.44
Maize,Region_B,Loam,6.68,410.4,34.3,34.5,54.0,Flood,17.5,9.8,None,37.78
Maize,Region_A,Loam,6.84,763.9,27.1,47.6,157.7,Drip,43.1,11.7,Maize,110.63
Rice,Region_C,Sandy,5.57,1203.5,33.6,52.0,126.7,None,6.5,23.0,Barley,110.33
Maize,Region_C,Clay,7.21,1215.0,28.8,61.1,194.2,Flood,32.0,17.5,Barley,127.89
Rice,Region_B,Sandy,7.31,499.7,33.2,58.6,282.5,Sprinkler,13.7,16.8,None,164.38
Maize,Region_A,Loam,7.2,427.5,18.2,42.5,127.0,None,26.4,23.9,Rice,81.34
Wheat,Region_D,Clay,7.15,1396.7,31.3,62.4,299.3,Drip,19.4,20.8,Rice,199.69
Maize,Region_D,Sandy,6.99,257.2,18.9,85.6,71.5,Flood,49.0,5.3,Rice,41.08
Rice,Region_B,Loam,6.77,1155.2,15.5,31.6,72.1,None,24.3,7.5,Wheat,76.19
Rice,Region_C,Sandy,6.86,260.3,25.4,70.8,228.2,None,48.8,10.0,Barley,120.69
Wheat,Region_A,Sandy,7.11,1289.3,21.4,67.5,237.2,Drip,12.8,11.1,Maize,165.01
Maize,Region_C,Sandy,6.82,1377.0,15.9,85.5,155.7,None,38.4,21.7,None,124.51
Maize,Region_D,Clay,6.16,586.6,34.6,68.7,121.5,None,35.9,20.4,Barley,83.62
Wheat,Region_C,Loam,6.25,296.1,28.3,67.5,248.5,Sprinkler,42.4,7.9,Rice,140.92
Maize,Region_D,Loam,7.29,824.9,33.0,76.2,289.1,None,34.7,15.7,None,171.16
Maize,Region_A,Loam,5.53,588.0,35.0,46.1,297.5,Flood,34.1,7.2,Maize,170.6
Rice,Region_A,Loam,6.9,742.3,22.8,65.7,208.6,Sprinkler,33.0,8.5,Barley,136.95
Maize,Region_B,Clay,7.41,1064.5,20.1,61.2,235.0,Sprinkler,49.3,9.8,Maize,159.08
Maize,Region_B,Sandy,6.91,472.8,18.7,56.3,255.6,Flood,11.4,23.1,Barley,140.24
Wheat,Region_C,Loam,7.49,664.0,25.3,34.8,249.7,Sprinkler,1.5,12.3,Barley,146.73
Wheat,Region_A,Clay,6.88,1217.3,27.1,47.6,298.3,Drip,33.9,23.3,Rice,188.31
Barley,Region_A,Sandy,5.57,1036.9,24.4,46.8,252.6,Drip,8.6,20.0,None,162.6
Rice,Region_B,Clay,7.15,624.2,22.7,73.5,215.6,Flood,34.0,20.0,Rice,130.4
Maize,Region_D,Clay,6.07,1063.6,18.4,85.2,144.1,None,16.0,21.1,Barley,114.1
Maize,Region_C,Loam,6.39,1194.9,23.8,43.8,199.5,Sprinkler,2.2,6.9,Rice,148.03
Barley,Region_C,Loam,6.12,970.2,16.7,34.5,270.1,Flood,38.5,21.3,Barley,176.51
Maize,Region_B,Sandy,6.04,511.3,32.3,90.0,126.4,Sprinkler,2.6,10.1,Rice,95.8
Rice,Region_A,Sandy,6.36,200.3,15.9,71.5,57.7,Drip,11.2,24.7,Barley,30.14
Barley,Region_B,Loam,6.26,1243.7,22.6,83.2,131.8,Drip,16.8,22.0,Wheat,106.79
Rice,Region_B,Clay,6.77,1269.4,17.0,38.6,290.1,Flood,6.6,24.9,Wheat,183.06
Barley,Region_B,Loam,7.13,1106.9,30.5,78.0,248.5,Sprinkler,45.7,23.7,Maize,159.07
Barley,Region_B,Sandy,6.09,299.6,21.3,78.8,96.8,Drip,31.1,12.2,Barley,68.69
Wheat,Region_D,Clay,5.93,960.8,17.3,39.1,53.0,Sprinkler,43.8,23.8,Rice,60.89
Rice,Region_D,Clay,6.83,1267.3,25.6,39.7,217.3,Drip,34.1,11.6,Barley,143.84
Maize,Region_A,Clay,6.84,706.6,33.3,47.7,194.8,Drip,49.6,18.2,Rice,138.23
Maize,Region_B,Loam,7.3,457.4,33.2,43.0,70.7,Drip,26.3,21.4,Maize,46.63
Rice,Region_D,Loam,5.53,963.9,20.0,88.5,291.5,Drip,2.7,12.6,Barley,176.9
Maize,Region_A,Sandy,7.21,1274.2,29.4,51.8,204.4,None,8.0,9.1,Maize,146.75
Maize,Region_B,Clay,6.54,263.5,15.6,75.7,212.9,Flood,29.4,22.9,Rice,111.82
Rice,Region_C,Clay,6.74,976.0,17.6,78.3,263.4,Sprinkler,17.4,7.1,None,167.25
Barley,Region_D,Loam,5.68,1036.1,25.0,53.2,134.3,Drip,5.6,12.3,Rice,100.14
Rice,Region_A,Sandy,6.37,983.1,19.6,71.0,189.6,Drip,11.9,15.8,Maize,132.33
Barley,Region_C,Sandy,5.95,1045.0,31.0,36.5,194.0,Drip,23.7,21.1,Barley,136.54
Maize,Region_B,Clay,6.01,1020.8,33.6,53.8,291.8,Flood,25.9,22.4,Barley,170.72
Maize,Region_B,Loam,6.51,369.5,15.1,88.0,82.9,Sprinkler,46.7,15.2,Maize,47.8
Maize,Region_B,Clay,7.12,505.4,19.7,40.1,239.7,Flood,4.5,16.5,Barley,143.2
Wheat,Region_D,Loam,6.99,1004.7,23.8,53.1,193.8,Flood,17.9,22.1,Wheat,133.82
Barley,Region_A,Sandy,6.68,223.0,26.3,77.4,261.3,Drip,25.3,14.3,None,137.47
Wheat,Region_C,Clay,6.58,1025.2,33.3,69.9,258.0,Sprinkler,5.7,16.2,Maize,163.07
Wheat,Region_A,Clay,6.35,1065.0,32.8,67.9,53.0,Drip,34.4,5.4,None,64.57
Rice,Region_D,Clay,7.45,510.9,27.7,81.2,114.1,Flood,25.8,24.0,Maize,67.79
Wheat,Region_A,Sandy,6.62,977.6,20.1,31.7,95.2,None,23.0,16.3,None,92.31
Rice,Region_D,Clay,6.01,894.3,30.7,76.3,165.4,None,32.8,19.6,Rice,110.77
Rice,Region_B,Sandy,5.96,538.9,19.1,83.0,276.3,Flood,14.4,10.0,Maize,158.29
Wheat,Region_C,Loam,6.72,801.9,34.3,31.0,51.3,Drip,17.0,18.1,Barley,64.92
Barley,Region_B,Sandy,6.55,1382.5,15.1,63.5,172.0,Drip,8.1,14.2,None,129.57
Barley,Region_A,Loam,5.52,754.6,26.4,50.9,271.2,Sprinkler,26.2,7.2,Rice,165.13
Barley,Region_B,Sandy,7.16,1018.8,16.8,33.0,281.6,Sprinkler,18.6,21.6,Rice,169.94
Barley,Region_C,Sandy,6.91,246.0,23.2,55.1,214.3,None,13.0,21.8,Rice,116.43
Barley,Region_B,Clay,6.82,301.1,27.7,68.6,257.4,Drip,6.2,6.3,Barley,138.65
Wheat,Region_C,Sandy,5.64,305.7,28.8,85.1,131.0,Flood,1.2,12.8,Rice,86.83
Wheat,Region_C,Clay,6.22,1211.7,30.7,67.2,121.5,Drip,9.7,10.6,None,99.9
Maize,Region_B,Loam,7.37,655.3,26.9,81.4,62.3,Drip,12.4,15.3,Barley,52.47
Barley,Region_D,Loam,7.23,495.9,20.0,37.3,175.8,Flood,24.3,14.8,Maize,102.47
Wheat,Region_A,Clay,6.07,1171.5,32.8,42.6,164.0,None,12.0,18.1,Barley,125.62
Maize,Region_D,Loam,5.81,420.9,31.2,88.2,143.0,Flood,40.9,9.9,Maize,93.27
Barley,Region_D,Sandy,6.4,520.4,18.2,83.2,78.3,Drip,23.7,9.4,Maize,48.41
Rice,Region_B,Clay,6.21,760.2,31.5,44.1,107.7,Flood,31.2,19.5,Maize,83.3
Maize,Region_A,Clay,6.86,630.9,34.5,67.3,100.9,Sprinkler,10.4,24.5,Maize,77.78
Wheat,Region_A,Clay,7.43,961.0,27.7,51.8,286.0,Sprinkler,20.8,23.9,Barley,184.4
Rice,Region_D,Loam,6.23,639.2,20.6,58.1,291.6,Sprinkler,30.1,20.8,Wheat,162.98
Rice,Region_B,Loam,5.62,710.8,27.1,81.7,50.9,Sprinkler,15.6,6.3,Wheat,46.59
Rice,Region_A,Sandy,7.3,1321.8,21.9,74.1,92.6,Flood,16.8,9.8,Rice,93.54
Maize,Region_D,Sandy,5.58,1349.9,28.5,44.3,272.2,None,40.4,18.8,None,181.99
Wheat,Region_A,Clay,7.41,1276.0,25.9,49.0,59.6,None,41.9,10.9,None,80.15
Rice,Region_B,Sandy,6.83,1324.3,33.6,47.4,285.9,Sprinkler,26.6,12.9,None,194.91
Barley,Region_B,Loam,7.38,940.6,27.4,76.8,145.0,Drip,44.8,24.1,Rice,107.59
Rice,Region_B,Sandy,5.9,1040.1,19.3,59.4,184.7,Flood,36.8,6.7,None,127.08
